2019-11-29 13:47:58.863 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:47:59.504 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.505 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:47:59.505 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:47:59.510 parsl:248 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Got tasks: [6] of 6
2019-11-29 13:47:59.511 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:47:59.512 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:47:59.512 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.513 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:47:59.513 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:47:59.535 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.535 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:47:59.576 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.577 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:47:59.658 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.659 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:47:59.821 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:47:59.821 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:00.142 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.142 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:00.142 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:00.144 parsl:248 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Got tasks: [7] of 7
2019-11-29 13:48:00.144 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:48:00.144 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:00.144 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.144 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:00.145 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:00.165 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.165 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:00.206 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.207 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:00.288 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.288 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:00.449 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.449 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:00.770 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:00.771 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:01.412 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.413 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:01.413 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:01.417 parsl:248 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Got tasks: [8] of 8
2019-11-29 13:48:01.417 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:48:01.418 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:01.419 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.419 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:01.420 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:01.441 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.441 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:01.482 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.483 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:01.564 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.564 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:01.725 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:01.726 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:02.047 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.047 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:02.689 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.689 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:02.690 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:02.694 parsl:248 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Got tasks: [9] of 9
2019-11-29 13:48:02.695 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:48:02.695 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:02.697 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.697 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:02.698 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:02.719 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.720 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:02.761 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.762 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:02.842 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:02.843 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:03.004 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:03.005 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:03.326 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:03.326 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:03.968 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:03.968 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
2019-11-29 13:48:05.250 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:05.251 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:05.252 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:05.257 parsl:248 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Got tasks: [10] of 10
2019-11-29 13:48:05.257 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:1
2019-11-29 13:48:05.258 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:05.259 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:05.260 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:1, pending tasks:0
2019-11-29 13:48:05.260 parsl:225 Rank:0 [DEBUG]  [TASK_PULL_THREAD] Requesting tasks: 1
2019-11-29 13:48:05.281 parsl:256 Rank:0 [DEBUG]  [TASK_PULL_THREAD] No incoming tasks
2019-11-29 13:48:05.281 parsl:218 Rank:0 [DEBUG]  [TASK_PULL_THREAD] ready workers:0, pending tasks:0
